"CLUSTER","gene_name","MEM.SHIP"
1,"AL590822.2",0.909962276664593
1,"AL645728.2",0.574486893860332
1,"ALG1L2",0.850127402265762
1,"ALG1L6P",0.835367595132665
1,"ALKBH8",0.784009434831539
1,"ALMS1-IT1",0.720224719081979
1,"ALOX12",0.575274879270799
1,"ALX3",0.774537928518349
1,"AMIGO2",0.677534281778318
1,"AMMECR1L",0.541915594135117
1,"AMOTL2",0.738701146405427
1,"ANGEL1",0.553336934659809
1,"ANGPTL5",0.529055709401605
1,"ANKLE2",0.903353658197462
1,"ANKRD1",0.552769082964419
1,"ANKRD10",0.77681068018618
1,"ANKRD10-IT1",0.814150093020525
1,"ANKRD23",0.714544092020068
1,"ANKRD33B",0.892020175412143
1,"ANKRD33B-AS1",0.557383783676331
1,"ANKRD36BP1",0.518681020218196
1,"ANKRD53",0.700122775648298
1,"ANKRD61",0.537584062923149
1,"ANKS3",0.52457117411606
1,"AOC2",0.603742114498987
1,"AOC3",0.562543155919008
1,"AP000254.8",0.737167644498096
1,"AP000704.5",0.908718652316951
1,"AP000962.2",0.734882487014443
1,"AP001172.3",0.595285808798444
1,"AP001596.6",0.725372074018316
1,"AP001619.2",0.810543607238794
1,"AP003900.6",0.566892027332091
1,"APLF",0.553703741727283
1,"APOBEC4",0.731421647236801
1,"ARAP2",0.786116067506904
1,"AREL1",0.797387855841096
1,"ARGLU1",0.702645666579334
1,"ARHGAP12",0.681378907602557
1,"ARHGAP28",0.868258233941272
1,"ARHGAP30",0.658482776887172
1,"ARHGEF17",0.760738500801829
1,"ARHGEF18",0.561166981197241
1,"ARHGEF4",0.776544888213555
1,"ARMC3",0.52595662579691
1,"ARMC5",0.69300545722364
1,"ARSA",0.58569484012014
1,"ARSD",0.817402561153944
1,"ARSD-AS1",0.552269695412871
1,"ARSJ",0.63452958307615
1,"ART4",0.675912162453192
1,"ASAH2B",0.6907556965146
1,"ASB1",0.749498019165768
1,"ASB17",0.670057367853098
1,"ASCC3",0.568467482104217
1,"ASPHD1",0.721917484672188
1,"ASPM",0.801898393525514
1,"ASTE1",0.522834575386654
1,"ATAD2B",0.693804819151515
1,"ATG2B",0.837784310390525
1,"ATHL1",0.573130600623258
1,"ATP11B",0.83479110448284
1,"ATP13A1",0.599502385087242
1,"ATP13A2",0.80301761552031
1,"ATP13A3",0.621924594548933
1,"ATP2B1",0.884486468269148
1,"ATP6V0A2",0.605187056149622
1,"ATP7B",0.514282257944
1,"ATP9A",0.523963960978817
1,"ATXN10",0.526399763789952
1,"B3GALTL",0.522971489823179
1,"B3GNT5",0.870260664492368
1,"B4GALT4-AS1",0.723002155101003
1,"BARD1",0.663740099228454
1,"BCL2L14",0.540060570325421
1,"BDKRB1",0.507762438413267
1,"BDP1",0.759746418101228
1,"BEGAIN",0.810253135170401
1,"BIRC2",0.827919770957845
1,"BIRC3",0.819221420854202
1,"BLZF1",0.697339825461941
1,"BMP2",0.696998356358969
1,"BMP5",0.557702036722445
1,"BMS1",0.549542453492946
1,"BMS1P18",0.656772339109144
1,"BRD7",0.537425959222147
1,"BRIP1",0.787349595919475
1,"BRWD1",0.602255501336468
1,"BRWD1-IT2",0.638456152755447
1,"BSND",0.584849906741008
1,"BTG3",0.910580624040653
1,"BTN2A3P",0.627626547604815
