"CLUSTER","gene_name","MEM.SHIP"
1,"CHPF2",0.638844115358054
1,"CHRNB3",0.508498313034922
1,"CHST10",0.604316183866394
1,"CHST15",0.537239766034218
1,"CHST3",0.557010516577338
1,"CIAO1",0.792109434618269
1,"CKS1B",0.661092925070009
1,"CLEC3B",0.541016112404236
1,"CLIC1",0.709191407478227
1,"CLIC2",0.860634764850534
1,"CLIP4",0.584023355551398
1,"CLN6",0.639943118628006
1,"CLNS1A",0.630636919855393
1,"CLPTM1L",0.575373643999777
1,"CMBL",0.732896072019089
1,"CMTM4",0.615310329264856
1,"CMTR1",0.858808074390006
1,"CNN2",0.781493552278881
1,"CNN2P9",0.618636480974184
1,"CNOT11",0.574859833846998
1,"CNOT3",0.573773782509822
1,"CNPY2",0.623317923881734
1,"COA3",0.575262494392812
1,"COA4",0.509497226166498
1,"COASY",0.786205661701365
1,"COG1",0.599619521160784
1,"COG7",0.596557981943692
1,"COG8",0.80610504385428
1,"COL13A1",0.545075087321597
1,"COL4A1",0.518173081228817
1,"COL4A2",0.623309169389997
1,"COMMD9",0.729026781450733
1,"COMT",0.731102712547629
1,"COPRS",0.53967678472292
1,"COPZ1",0.500534302062322
1,"COQ6",0.606285450277431
1,"COQ7",0.552158130020445
1,"COX14",0.538999605582713
1,"COX4I1",0.635070340169031
1,"COX5A",0.669230097695387
1,"COX6B1P1",0.61594399752594
1,"CPD",0.531904968854951
1,"CPSF4",0.798537859890468
1,"CPT1A",0.792208726040717
1,"CRB1",0.562344095821959
1,"CRCP",0.61263649920138
1,"CRKL",0.581618827924786
1,"CSF2RA",0.899142942806299
1,"CSNK2B",0.732115047785158
1,"CSNK2B-LY6G5B-1181",0.624419032987555
1,"CSRP2BP",0.544317870455453
1,"CSTB",0.720078703972706
1,"CTA-85E5.10",0.608079513374224
1,"CTA-989H11.1",0.615727105159375
1,"CTB-129P6.11",0.557407412968304
1,"CTB-175E5.7",0.716911633341869
1,"CTB-179K24.3",0.62098215649438
1,"CTB-52I2.4",0.852156954751902
1,"CTB-59C6.3",0.54770897700871
1,"CTB-5E10.3",0.735734020405616
1,"CTB-79E8.3",0.625892948423682
1,"CTC-215O4.4",0.523520363057234
1,"CTC-297N7.8",0.668825224487407
1,"CTC-308K20.1",0.516385933188515
1,"CTC-326K19.6",0.608476046485627
1,"CTC-329H14.1",0.829074390592539
1,"CTC-338M12.7",0.548728198756384
1,"CTC-365E16.1",0.588837086957525
1,"CTC-429P9.2",0.514663445079996
1,"CTC-444N24.6",0.853761987358598
1,"CTC-498J12.3",0.681826381201787
1,"CTC-518P12.6",0.590674549609731
1,"CTC-559E9.4",0.777235678699254
1,"CTC-559E9.6",0.799591679591854
1,"CTC-786C10.1",0.666977059669519
1,"CTD-2089O24.2",0.842586772187326
1,"CTD-2102P23.1",0.811523793376528
1,"CTD-2132N18.3",0.659367218123619
1,"CTD-2135J3.3",0.507748202879
1,"CTD-2192J16.24",0.519280344729217
1,"CTD-2203K17.1",0.675930358011171
1,"CTD-2213F21.2",0.737797732011749
1,"CTD-2231E14.8",0.559528817221834
1,"CTD-2287O16.5",0.524730434815261
1,"CTD-2301A4.5",0.737244635417614
