gene_name,go_term
 accA,GO:0015947
 fabE,GO:0015947
 accC,GO:0015947
 accD,GO:0015947
 ldh,GO:0015947
 gldA,GO:0015947
ackA,GO:0006772
 pta,GO:0006772
 acoL,GO:0006772
 pfl,GO:0006772
 accA,GO:0006772
 fabE,GO:0006772
 accC,GO:0006772
 accD,GO:0006772
 ldh,GO:0006772
 gldA,GO:0006772
ackA,GO:0006771
 pta,GO:0006771
 pflB,GO:0006771
 accA,GO:0006771
 accB,GO:0006771
 accC,GO:0006771
 accD,GO:0006771
acoA,GO:0042816
 acoB,GO:0042816
 acoC,GO:0042816
 acoL,GO:0042816
 pfl,GO:0042816
 adhE,GO:0042816
 adhP,GO:0042816
 ackA,GO:0042816
 pta,GO:0042816
 pykF,GO:0042816
 accA,GO:0042816
 accB,GO:0042816
 accC,GO:0042816
 accD,GO:0042816
 acyP,GO:0042816
 spxB,GO:0042816
 ldh,GO:0042816
 lguL,GO:0042816
 ppc,GO:0042816
acoA,GO:0046497
acoA,GO:0006769
 acoB,GO:0046497
 acoB,GO:0006769
 acoC,GO:0046497
 acoC,GO:0006769
 acoL,GO:0046497
 acoL,GO:0006769
 pfl,GO:0046497
 pfl,GO:0006769
 adhE,GO:0046497
 adhE,GO:0006769
 adhP,GO:0046497
 adhP,GO:0006769
 adhB,GO:0046497
 adhB,GO:0006769
 pta,GO:0046497
 pta,GO:0006769
 accA,GO:0046497
 accA,GO:0006769
 accB,GO:0046497
 accB,GO:0006769
 accC,GO:0046497
 accC,GO:0006769
 accD,GO:0046497
 accD,GO:0006769
 acyP,GO:0046497
 acyP,GO:0006769
 spxB,GO:0046497
 spxB,GO:0006769
 lguL,GO:0046497
 lguL,GO:0006769
 ppc,GO:0046497
 ppc,GO:0006769
acoA,GO:0015940
acoA,GO:0015937
 lpdA,GO:0015940
 lpdA,GO:0015937
 pflB,GO:0015940
 pflB,GO:0015937
 ackA,GO:0015940
 ackA,GO:0015937
 pta,GO:0015940
 pta,GO:0015937
 pyk,GO:0015940
 pyk,GO:0015937
 accA,GO:0015940
 accA,GO:0015937
 accB,GO:0015940
 accB,GO:0015937
 accC,GO:0015940
 accC,GO:0015937
 accD,GO:0015940
 accD,GO:0015937
 spxB,GO:0015940
 spxB,GO:0015937
 ldh,GO:0015940
 ldh,GO:0015937
 gloA,GO:0015940
 gloA,GO:0015937
 ppc,GO:0015940
 ppc,GO:0015937
acoL,GO:0006768
 acoA,GO:0006768
 acoB,GO:0006768
 acoC,GO:0006768
acoL,GO:0009106
 acoA,GO:0009106
 acoB,GO:0009106
 acoC,GO:0009106
acoL,GO:0046656
 pdhA,GO:0046656
 pdhB,GO:0046656
 acoC,GO:0046656
acoL,GO:0006778
 pdhA,GO:0006778
 pdhB,GO:0006778
 acoC,GO:0006778
acoL,GO:0009240
acoL,GO:0016091
 pdhA,GO:0009240
 pdhA,GO:0016091
 pdhB,GO:0009240
 pdhB,GO:0016091
 acoC,GO:0009240
 acoC,GO:0016091
acoL,GO:0006807
 pdhA,GO:0006807
 pdhB,GO:0006807
 acoC,GO:0006807
acoL,GO:0006790
 pdhA,GO:0006790
 pdhB,GO:0006790
 acoC,GO:0006790
acoL,GO:0043190
acoL,GO:0043191
acoL,GO:0043192
 pdhA,GO:0043190
 pdhA,GO:0043191
 pdhA,GO:0043192
 pdhB,GO:0043190
 pdhB,GO:0043191
 pdhB,GO:0043192
 acoC,GO:0043190
 acoC,GO:0043191
 acoC,GO:0043192
acoL,GO:0000160
 pdhA,GO:0000160
 pdhB,GO:0000160
 acoC,GO:0000160
acoL,GO:0009372
 pdhA,GO:0009372
 pdhB,GO:0009372
 acoC,GO:0009372
acoL,GO:0009401
 pdhA,GO:0009401
 pdhB,GO:0009401
 acoC,GO:0009401
adhE,GO:0006401
 pfl,GO:0006401
 mvaS,GO:0006401
 alsS,GO:0006401
 ilvH,GO:0006401
 aldB,GO:0006401
adhE,GO:0000428
 pfl,GO:0000428
 mvaS,GO:0000428
 alsS,GO:0000428
 ilvH,GO:0000428
 aldB,GO:0000428
adhE,GO:0043952
adhE,GO:0043953
 pfl,GO:0043952
 pfl,GO:0043953
 mvaS,GO:0043952
 mvaS,GO:0043953
 alsS,GO:0043952
 alsS,GO:0043953
 ilvH,GO:0043952
 ilvH,GO:0043953
 aldB,GO:0043952
 aldB,GO:0043953
adhE,GO:0030253
adhE,GO:0015628
adhE,GO:0030254
adhE,GO:0030255
adhE,GO:0046819
adhE,GO:0033103
adhE,GO:0044098
adhE,GO:0043952
adhE,GO:0043953
 pfl,GO:0030253
 pfl,GO:0015628
 pfl,GO:0030254
 pfl,GO:0030255
 pfl,GO:0046819
 pfl,GO:0033103
 pfl,GO:0044098
 pfl,GO:0043952
 pfl,GO:0043953
 mvaS,GO:0030253
 mvaS,GO:0015628
 mvaS,GO:0030254
 mvaS,GO:0030255
 mvaS,GO:0046819
 mvaS,GO:0033103
 mvaS,GO:0044098
 mvaS,GO:0043952
 mvaS,GO:0043953
 alsS,GO:0030253
 alsS,GO:0015628
 alsS,GO:0030254
 alsS,GO:0030255
 alsS,GO:0046819
 alsS,GO:0033103
 alsS,GO:0044098
 alsS,GO:0043952
 alsS,GO:0043953
 ilvH,GO:0030253
 ilvH,GO:0015628
 ilvH,GO:0030254
 ilvH,GO:0030255
 ilvH,GO:0046819
 ilvH,GO:0033103
 ilvH,GO:0044098
 ilvH,GO:0043952
 ilvH,GO:0043953
 aldB,GO:0030253
 aldB,GO:0015628
 aldB,GO:0030254
 aldB,GO:0030255
 aldB,GO:0046819
 aldB,GO:0033103
 aldB,GO:0044098
 aldB,GO:0043952
 aldB,GO:0043953
adhE,GO:0006284
adhE,GO:0006285
adhE,GO:0006286
adhE,GO:0006287
adhE,GO:0006288
 pfl,GO:0006284
 pfl,GO:0006285
 pfl,GO:0006286
 pfl,GO:0006287
 pfl,GO:0006288
 mvaS,GO:0006284
 mvaS,GO:0006285
 mvaS,GO:0006286
 mvaS,GO:0006287
 mvaS,GO:0006288
 alsS,GO:0006284
 alsS,GO:0006285
 alsS,GO:0006286
 alsS,GO:0006287
 alsS,GO:0006288
 ilvH,GO:0006284
 ilvH,GO:0006285
 ilvH,GO:0006286
 ilvH,GO:0006287
 ilvH,GO:0006288
 aldB,GO:0006284
 aldB,GO:0006285
 aldB,GO:0006286
 aldB,GO:0006287
 aldB,GO:0006288
adhE,GO:0006289
 pfl,GO:0006289
 mvaS,GO:0006289
 alsS,GO:0006289
 ilvH,GO:0006289
 aldB,GO:0006289
adhE,GO:0006298
 pfl,GO:0006298
 mvaS,GO:0006298
 alsS,GO:0006298
 ilvH,GO:0006298
 aldB,GO:0006298
adhE,GO:0000724
 pfl,GO:0000724
 mvaS,GO:0000724
 alsS,GO:0000724
 ilvH,GO:0000724
 aldB,GO:0000724
adhE,GO:0006096
adhE,GO:0006094
 pfl,GO:0006096
 pfl,GO:0006094
 mvaS,GO:0006096
 mvaS,GO:0006094
 alsS,GO:0006096
 alsS,GO:0006094
 ilvH,GO:0006096
 ilvH,GO:0006094
 aldB,GO:0006096
 aldB,GO:0006094
adhE,GO:0006099
 pfl,GO:0006099
 mvaS,GO:0006099
 adh,GO:0006099
 ilvB,GO:0006099
 ilvN,GO:0006099
 aldB,GO:0006099
adhE,GO:0006098
 pfl,GO:0006098
 mvaS,GO:0006098
 adh,GO:0006098
 ilvB,GO:0006098
 ilvN,GO:0006098
 aldB,GO:0006098
aguA,GO:0006000
aguA,GO:0006013
 aguB,GO:0006000
 aguB,GO:0006013
 speE,GO:0006000
 speE,GO:0006013
 nspC,GO:0006000
 nspC,GO:0006013
 proC,GO:0006000
 proC,GO:0006013
 proB,GO:0006000
